Run #1	Run #1
Time (s)	Voltage (V)
37.300	3.369
37.350	3.364
37.400	3.364
37.450	3.364
37.500	3.369
37.550	3.359
37.600	3.364
37.650	3.359
37.700	3.359
37.750	3.364
37.800	3.364
37.850	3.364
37.900	3.364
37.950	3.364
38.000	3.364
38.050	3.364
38.100	3.369
38.150	3.364
38.200	3.364
38.250	3.359
38.300	3.364
38.350	3.364
38.400	3.364
38.450	3.364
38.500	3.364
38.550	3.359
38.600	3.359
38.650	3.364
38.700	3.359
38.750	3.364
38.800	3.359
38.850	3.364
38.900	3.359
38.950	3.364
39.000	3.359
39.050	3.364
39.100	3.359
39.150	3.364
39.200	3.364
39.250	3.359
39.300	3.364
39.350	3.364
39.400	3.364
39.450	3.364
39.500	3.369
39.550	3.364
39.600	3.379
39.650	3.359
39.700	3.364
39.750	3.364
39.800	3.364
39.850	3.359
39.900	3.364
39.950	3.354
40.000	3.364
40.050	3.364
40.100	3.369
40.150	3.359
40.200	3.364
40.250	3.364
40.300	3.364
40.350	3.364
40.400	3.364
40.450	3.364
40.500	3.359
40.550	3.364
40.600	3.364
40.650	3.364
40.700	3.364
40.750	3.364
40.800	3.364
40.850	3.364
40.900	3.364
40.950	3.364
41.000	3.364
41.050	3.364
41.100	3.359
41.150	3.364
41.200	3.364
41.250	3.364
41.300	3.364
41.350	3.364
41.400	3.359
41.450	3.359
41.500	3.364
41.550	3.364
41.600	3.364
41.650	3.359
41.700	3.359
41.750	3.364
41.800	3.359
41.850	3.359
41.900	3.364
41.950	3.364
42.000	3.364
42.050	3.364
42.100	3.364
42.150	3.364
42.200	3.364
42.250	3.364
42.300	3.359
42.350	3.364
42.400	3.359
42.450	3.364
42.500	3.359
42.550	3.359
42.600	3.364
42.650	3.364
42.700	3.359
42.750	3.364
42.800	3.359
42.850	3.359
42.900	3.364
42.950	3.364
43.000	3.359
43.050	3.359
43.100	3.359
43.150	3.364
43.200	3.364
43.250	3.359
43.300	3.364
43.350	3.364
43.400	3.364
43.450	3.359
43.500	3.359
43.550	3.369
43.600	3.364
43.650	3.359
43.700	3.359
43.750	3.364
43.800	3.369
43.850	3.364
43.900	3.364
43.950	3.364
44.000	3.369
44.050	3.369
44.100	3.359
44.150	3.359
44.200	3.364
44.250	3.364
44.300	3.364
44.350	3.364
44.400	3.359
44.450	3.359
44.500	3.359
44.550	3.364
44.600	3.359
44.650	3.359
44.700	3.364
44.750	3.364
44.800	3.359
44.850	3.359
44.900	3.359
44.950	3.364
45.000	3.359
45.050	3.364
45.100	3.364
45.150	3.364
45.200	3.364
45.250	3.364
45.300	3.364
45.350	3.359
45.400	3.359
45.450	3.364
45.500	3.364
45.550	3.359
45.600	3.354
45.650	3.359
45.700	3.359
45.750	3.364
45.800	3.359
45.850	3.364
45.900	3.359
45.950	3.359
46.000	3.364
46.050	3.359
46.100	3.359
46.150	3.359
46.200	3.364
46.250	3.364
46.300	3.359
46.350	3.364
46.400	3.359
46.450	3.364
46.500	3.364
46.550	3.364
46.600	3.359
46.650	3.359
46.700	3.364
46.750	3.359
46.800	3.359
46.850	3.364
46.900	3.359
46.950	3.364
47.000	3.359
47.050	3.364
47.100	3.364
47.150	3.364
47.200	3.359
47.250	3.364
47.300	3.359
47.350	3.359
47.400	3.364
47.450	3.364
47.500	3.359
47.550	3.369
47.600	3.359
47.650	3.359
47.700	3.359
47.750	3.359
47.800	3.364
47.850	3.359
47.900	3.364
47.950	3.364
48.000	3.359
48.050	3.364
48.100	3.359
48.150	3.364
48.200	3.359
48.250	3.354
48.300	3.359
48.350	3.364
48.400	3.369
48.450	3.359
48.500	3.359
48.550	3.364
48.600	3.359
48.650	3.359
48.700	3.359
48.750	3.359
48.800	3.359
48.850	3.359
48.900	3.364
48.950	3.364
49.000	3.359
49.050	3.359
49.100	3.359
49.150	3.364
49.200	3.359
49.250	3.364
49.300	3.364
49.350	3.364
49.400	3.359
49.450	3.359
49.500	3.359
49.550	3.364
49.600	3.359
49.650	3.359
49.700	3.359
49.750	3.359
49.800	3.359
49.850	3.359
49.900	3.359
49.950	3.364
50.000	3.359
50.050	3.359
50.100	3.359
50.150	3.359
50.200	3.359
50.250	3.359
50.300	3.359
50.350	3.359
50.400	3.359
50.450	3.364
50.500	3.359
50.550	3.359
50.600	3.359
50.650	3.359
50.700	3.359
50.750	3.359
50.800	3.359
50.850	3.359
50.900	3.364
50.950	3.364
51.000	3.359
51.050	3.359
51.100	3.359
51.150	3.359
51.200	3.359
51.250	3.364
51.300	3.359
51.350	3.359
51.400	3.359
51.450	3.364
51.500	3.359
51.550	3.364
51.600	3.359
51.650	3.364
51.700	3.364
51.750	3.359
51.800	3.364
51.850	3.364
51.900	3.359
51.950	3.359
52.000	3.359
52.050	3.359
52.100	3.364
52.150	3.359
52.200	3.359
52.250	3.364
52.300	3.354
52.350	3.364
52.400	3.359
52.450	3.364
52.500	3.359
52.550	3.359
52.600	3.364
52.650	3.359
52.700	3.359
52.750	3.364
52.800	3.359
52.850	3.364
52.900	3.354
52.950	3.359
53.000	3.359
53.050	3.354
53.100	3.359
53.150	3.364
53.200	3.359
53.250	3.364
53.300	3.359
53.350	3.359
53.400	3.359
53.450	3.364
53.500	3.364
53.550	3.359
53.600	3.359
53.650	3.364
53.700	3.359
53.750	3.359
53.800	3.359
53.850	3.359
53.900	3.359
53.950	3.364
54.000	3.359
54.050	3.364
54.100	3.359
54.150	3.364
54.200	3.359
54.250	3.364
54.300	3.359
54.350	3.359
54.400	3.364
54.450	3.359
54.500	3.359
54.550	3.364
54.600	3.359
54.650	3.364
54.700	3.359
54.750	3.364
54.800	3.359
54.850	3.354
54.900	3.364
54.950	3.359
55.000	3.359
55.050	3.359
55.100	3.359
55.150	3.359
55.200	3.359
55.250	3.364
55.300	3.359
55.350	3.359
55.400	3.359
55.450	3.364
55.500	3.359
55.550	3.359
55.600	3.359
55.650	3.359
55.700	3.359
55.750	3.364
55.800	3.359
55.850	3.359
55.900	3.359
55.950	3.359
56.000	3.359
56.050	3.364
56.100	3.359
56.150	3.359
56.200	3.359
56.250	3.359
56.300	3.359
56.350	3.359
56.400	3.359
56.450	3.359
56.500	3.359
56.550	3.359
56.600	3.359
56.650	3.359
56.700	3.359
56.750	3.364
56.800	3.364
56.850	3.359
56.900	3.359
56.950	3.364
57.000	3.354
57.050	3.359
57.100	3.354
57.150	3.359
57.200	3.359
57.250	3.359
57.300	3.359
57.350	3.359
57.400	3.359
57.450	3.359
57.500	3.359
57.550	3.354
57.600	3.359
57.650	3.359
57.700	3.359
57.750	3.359
57.800	3.359
57.850	3.359
57.900	3.359
57.950	3.359
58.000	3.359
58.050	3.364
58.100	3.359
58.150	3.359
58.200	3.359
58.250	3.359
58.300	3.359
58.350	3.364
58.400	3.359
58.450	3.359
58.500	3.359
58.550	3.359
58.600	3.359
58.650	3.359
58.700	3.359
58.750	3.359
58.800	3.359
58.850	3.359
58.900	3.359
58.950	3.359
59.000	3.359
59.050	3.359
59.100	3.354
59.150	3.359
59.200	3.359
59.250	3.359
59.300	3.359
59.350	3.359
59.400	3.359
59.450	3.359
59.500	3.359
59.550	3.359
59.600	3.359
59.650	3.359
59.700	3.359
59.750	3.359
59.800	3.359
59.850	3.364
59.900	3.364
59.950	3.359
60.000	3.359
60.050	3.359
60.100	3.359
60.150	3.359
60.200	3.359
60.250	3.359
60.300	3.359
60.350	3.359
60.400	3.359
60.450	3.359
60.500	3.359
60.550	3.354
60.600	3.359
60.650	3.359
60.700	3.359
60.750	3.359
60.800	3.359
60.850	3.354
60.900	3.359
60.950	3.359
61.000	3.354
61.050	3.354
61.100	3.359
61.150	3.359
61.200	3.354
61.250	3.359
61.300	3.359
61.350	3.354
61.400	3.359
61.450	3.359
61.500	3.359
61.550	3.359
61.600	3.359
61.650	3.359
61.700	3.359
61.750	3.354
61.800	3.359
61.850	3.359
61.900	3.359
61.950	3.354
62.000	3.359
62.050	3.359
62.100	3.359
62.150	3.359
62.200	3.359
62.250	3.359
62.300	3.364
62.350	3.359
